strain	skewi
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.4335590560
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.4541747355
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.4429947637
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.4377862758
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.4011632026
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.4204142657
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.4289634684
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.4138414726
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.4228921935
13LoS28_1.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.3840595632
13LoS28_1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.3452969373
13LoS28_1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.4151042604
13LoS28_1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.4254278884
13LoS28_1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3162135648
13LoS28_1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4268418825
13LoS28_1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.2795247726
13LoS28_1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4263406507
13LoS28_1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.2763087501
13LoS28_1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4184082597
13LoS28_1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.2705873775
13LoS28_1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4042700037
13LoS28_1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.3079548931
13LoS28_1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4158581657
13LoS28_1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.3875959603
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.4265556375
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4244662337
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.4019170256
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.3947405720
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4219470931
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.4326076508
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.3950928233
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.4159844979
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.4108738272
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.4277687075
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.4788133721
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.4255334421
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.4049060367
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.4262420402
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.4116840064
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.4179376827
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.3897944129
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.4134962080
13LoS28_1.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.4000225141
13LoS70_1.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.3801225381
13LoS70_1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.4345669304
13LoS70_1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.3328855317
13LoS70_1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.3968722522
13LoS70_1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.2896427928
13LoS70_1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4265946695
13LoS70_1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.2823592225
13LoS70_1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4321796080
13LoS70_1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.2804311501
13LoS70_1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4147585442
13LoS70_1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.2761002626
13LoS70_1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.3862341713
13LoS70_1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.2706099289
13LoS70_1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.3846437189
13LoS70_1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.3611739326
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.4350130305
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4169519710
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.4279701898
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.4044539236
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4132837214
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.4126583561
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.4186179617
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.4027111192
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.4198175824
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.4398467011
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.4591014342
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.4228335594
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.4283327130
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.3965465826
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.4357441833
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.4228677539
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.4155262503
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.4348220986
13LoS70_1.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.4167403737
13LoS70_2.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.4481603869
13LoS70_2.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.3458629073
13LoS70_2.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.4675278936
13LoS70_2.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3484756979
13LoS70_2.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4538010821
13LoS70_2.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.3160620003
13LoS70_2.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4726680610
13LoS70_2.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.3187761341
13LoS70_2.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4674556061
13LoS70_2.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.3242820304
13LoS70_2.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4443052261
13LoS70_2.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.3452957049
13LoS70_2.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4317764925
13LoS70_2.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.4081534626
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.4464741300
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4441082945
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.4577073286
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.4496979852
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4428780231
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.4581722514
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.4320298979
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.4588515702
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.4475061498
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.4525124823
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.4775324020
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.4680126494
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.4709654315
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.4199827288
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.4599655582
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.4662852857
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.4556693783
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.4563394132
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.4506294166
13LoS78_1.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.6203099771
13LoS78_1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.5011136910
13LoS78_1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.6292811340
13LoS78_1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.6114516246
13LoS78_1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.5079423618
13LoS78_1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.6017734518
13LoS78_1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.4767571361
13LoS78_1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.6024213124
13LoS78_1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.4676137460
13LoS78_1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.5970872900
13LoS78_1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.4842103642
13LoS78_1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.5901475401
13LoS78_1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.4932099478
13LoS78_1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.6194596587
13LoS78_1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.5970560544
<unknown	0.4212584175
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.3943813206
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.2920228099
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.3829966206
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.2790986012
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.3823996997
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.2711193638
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.3872774626
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.2625439422
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.3899036908
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.2760558431
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.3742248563
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.2989731189
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.3872697292
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.3637988365
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.4223920016
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.4898332913
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.3500333759
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.4185244109
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3035928369
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4875945925
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.3648886686
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.5007086418
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.3594831275
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4779721293
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.3643733721
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4816423897
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.3896432816
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4715867824
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.4442484182
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.4773257698
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4780445652
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.4643572261
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.4540491065
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4780445137
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.4688055094
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.4383122706
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.4479577829
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.4804780877
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.4628841857
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.4665768074
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.4666449409
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.4143123646
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.4462568451
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.4298550892
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.4846193920
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.4438401707
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.4509776363
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.4492777941
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.5882824075
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.4555140843
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.5978104561
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.5023801631
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.5150133468
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.3876210390
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.5216181504
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.3917547105
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.5084115002
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.3826636665
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4971015367
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.4204559253
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.5292533550
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.5073452640
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.5558689148
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.5674416984
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.5310952293
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.5607728155
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.5663524971
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.5405725827
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.5163033240
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.5406993600
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.5470377133
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.5672268838
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.6034962334
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.5594777353
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.5507592034
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.5476317768
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.5487061464
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.5602920785
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.5408598012
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.5404548747
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.5408252263
B_erythrophleiGAS138.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.3565094430
B_erythrophleiGAS138.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.4743472981
B_erythrophleiGAS138.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.4834735170
B_erythrophleiGAS138.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3892113848
B_erythrophleiGAS138.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4862221945
B_erythrophleiGAS138.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.3724683477
B_erythrophleiGAS138.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4734745162
B_erythrophleiGAS138.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.3533541315
B_erythrophleiGAS138.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4832413019
B_erythrophleiGAS138.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.3729580173
B_erythrophleiGAS138.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4897573424
B_erythrophleiGAS138.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.3926153902
B_erythrophleiGAS138.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4722940127
B_erythrophleiGAS138.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.4531899852
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.4959994481
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4964222356
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.5093780890
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.5167205205
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4954152441
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.4998261671
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.4619634679
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.5011611233
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.4805746610
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.4885038589
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.4913301526
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.5064505566
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.5055524597
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.4768647356
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.4837356745
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.4804000326
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.4810706365
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.4969867367
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.4963620542
B_erythrophleiGAS242.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.4759372178
B_erythrophleiGAS242.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.5986320516
B_erythrophleiGAS242.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.5914415298
B_erythrophleiGAS242.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.5010684607
B_erythrophleiGAS242.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.5954313361
B_erythrophleiGAS242.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.4857203697
B_erythrophleiGAS242.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.5841751224
B_erythrophleiGAS242.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.4572236527
B_erythrophleiGAS242.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.5821040937
B_erythrophleiGAS242.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.4638952419
B_erythrophleiGAS242.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.5884676383
B_erythrophleiGAS242.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.5042576185
B_erythrophleiGAS242.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.5990722578
B_erythrophleiGAS242.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.5801541865
B_erythrophleiGAS401.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.5446566400
B_erythrophleiGAS401.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.5220886720
B_erythrophleiGAS401.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.6665213658
B_erythrophleiGAS401.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.6928391161
B_erythrophleiGAS401.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.5675256064
B_erythrophleiGAS401.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.6203080242
